title,slug,url,license,desc,author,organization,version,created_at,copyright,license_url
Open5e Original Content,o5e,open5e.com,Open Gaming License,Open5e Original Content,Ean Moody and Open Source Contributors from github.com/open5e-api,Open5e,1.0,2023-11-05T00:01:38.186000,Open5e.com Copyright 2019.,http://open5e.com/legal
5e Core Rules,wotc-srd,http://dnd.wizards.com/articles/features/systems-reference-document-srd,Open Gaming License,Dungeons and Dragons 5th Edition Systems Reference Document by Wizards of the Coast,"Mike Mearls, Jeremy Crawford, Chris Perkins, Rodney Thompson, Peter Lee, James Wyatt, Robert J. Schwalb, Bruce R. Cordell, Chris Sims, and Steve Townshend, based on original material by E. Gary Gygax and Dave Arneson.",Wizards of the Coast™,5.1,2023-11-05T00:01:38.209000,"System Reference Document 5.1 Copyright 2016, Wizards of the Coast, Inc.; Authors Mike Mearls, Jeremy Crawford, Chris Perkins, Rodney Thompson, Peter Lee, James Wyatt, Robert J. Schwalb, Bruce R. Cordell, Chris Sims, and Steve Townshend, based on original material by E. Gary Gygax and Dave Arneson.",http://open5e.com/legal
Tome of Beasts,tob,https://koboldpress.com/kpstore/product/tome-of-beasts-for-5th-edition-print/,Open Gaming License,Tome of Beasts Open-Gaming License Content by Kobold Press,"Chris Harris, Dan Dillon, Rodrigo Garcia Carmona, and Wolfgang Baur",Kobold Press™,1.0,2023-11-05T00:01:39.061000,"Tome of Beasts. Copyright 2016, Open Design; Authors Chris Harris, Dan Dillon, Rodrigo Garcia Carmona, and Wolfgang Baur.",http://open5e.com/legal
Creature Codex,cc,https://koboldpress.com/kpstore/product/creature-codex-for-5th-edition-dnd/,Open Gaming License,Creature Codex Open-Gaming License Content by Kobold Press,"Wolfgang Baur, Dan Dillon, Richard Green, James Haeck, Chris Harris, Jeremy Hochhalter, James Introcaso, Chris Lockey, Shawn Merwin, and Jon Sawatsky",Kobold Press™,1.0,2023-11-05T00:01:39.310000,"Creature Codex. © 2018 Open Design LLC; Authors Wolfgang Baur, Dan Dillon, Richard Green, James Haeck, Chris Harris, Jeremy Hochhalter, James Introcaso, Chris Lockey, Shawn Merwin, and Jon Sawatsky.",http://open5e.com/legal
Tome of Beasts 2,tob2,https://koboldpress.com/kpstore/product/tome-of-beasts-2-for-5th-edition/,Open Gaming License,Tome of Beasts 2 Open-Gaming License Content by Kobold Press,"Wolfgang Baur, Celeste Conowitch, Darrin Drader, James Introcaso, Philip Larwood, Jeff Lee, Kelly Pawlik, Brian Suskind, Mike Welham",Kobold Press™,1.0,2023-11-05T00:01:39.531000,"Tome of Beasts 2. Copyright 2020 Open Design LLC; Authors Wolfgang Baur, Celeste Conowitch, Darrin Drader, James Introcaso, Philip Larwood, Jeff Lee, Kelly Pawlik, Brian Suskind, Mike Welham.",http://open5e.com/legal
Deep Magic 5e,dmag,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/,Open Gaming License,Deep Magic Open-Gaming License Content by Kobold Press,"Dan Dillon, Chris Harris, and Jeff Lee",Kobold Press™,1.0,2023-11-05T00:01:39.769000,"Deep Magic for 5th Edition © 2020 Open Design LLC; Authors: Dan Dillon, Chris Harris, and Jeff Lee.",http://open5e.com/legal
Level Up Advanced 5e Monstrous Menagerie,menagerie,https://www.levelup5e.com,Open Gaming License,Monstrous Menagerie OGL by EN Publishing,Paul Hughes,EN Publishing™,1.0,2023-11-05T00:01:40.051000,"Level Up: Advanced 5th Edition Monstrous Menagerie. Copyright 2021, EN Publishing.",http://open5e.com/legal
Tome of Beasts 3,tob3,https://koboldpress.com/kpstore/product/tome-of-beasts-3-for-5th-edition/,Open Gaming License,Tome of Beasts 3 Open-Gaming License Content by Kobold Press,"Wolfgang Baur, Celeste Conowitch, Darrin Drader, James Introcaso, Philip Larwood, Jeff Lee, Kelly Pawlik, Brian Suskind, Mike Welham",Kobold Press™,1.0,2023-11-05T00:01:40.379000,Tome of Beasts 3. ©2022 Open Design LLC. All rights reserved.,http://open5e.com/legal
Level Up Advanced 5e,a5e,https://a5esrd.com/a5esrd,Creative Commons Attribution 4.0 International License,Advanced 5th Edition System Reference Document by EN Publishing,EN Publishing,EN Publishing™,1.0,2023-11-05T00:01:40.636000,"This work includes material taken from the A5E System Reference Document (A5ESRD) by EN Publishing and available at A5ESRD.com, based on Level Up: Advanced 5th Edition, available at www.levelup5e.com. The A5ESRD is licensed under the Creative Commons Attribution 4.0 International License available at https://creativecommons.org/licenses/by/4.0/legalcode.",http://open5e.com/legal
Kobold Press Compilation,kp,https://koboldpress.com,Open Gaming License,Kobold Press Community Use Policy,Various,Kobold Press™,1.0,2023-11-05T00:01:41.085000,© Open Design LLC,http://open5e.com/legal
Deep Magic Extended,dmag-e,https://koboldpress.com,Open Gaming License,Kobold Press Community Use Policy,Various,Kobold Press™,1.0,2023-11-05T00:01:41.120000,© Open Design LLC,http://open5e.com/legal
Warlock Archives,warlock,https://koboldpress.com/kpstore/product-category/all-products/warlock-5th-edition-dnd/,Open Gaming License,Kobold Press Community Use Policy,Various,Kobold Press™,1.0,2023-11-05T00:01:41.183000,© Open Design LLC,http://open5e.com/legal
Vault of Magic,vom,https://koboldpress.com/kpstore/product/vault-of-magic-for-5th-edition/,Open Gaming License,Vault of Magic Open-Gaming License Content by Kobold Press,"Phillip Larwood, Jeff Lee, and Christopher Lockey",Kobold Press™,1.0,2023-11-05T00:01:41.228000,"Vault of Magic. Copyright 2021 Open Design LLC; Authors Phillip Larwood, Jeff Lee, and Christopher Lockey.",http://open5e.com/legal
Tome of Heroes,toh,https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/,Open Gaming License,Tome of Heroes Open-Gaming License Content by Kobold Press,"Kelly Pawlik, Ben Mcfarland, and Briand Suskind",Kobold Press™,1.0,2023-11-05T00:01:41.515000,"Tome of Heroes. Copyright 2022, Open Design; Authors Kelly Pawlik, Ben Mcfarland, and Briand Suskind.",http://open5e.com/legal
Critical Role: Tal’Dorei Campaign Setting,taldorei,https://https://greenronin.com/blog/2017/09/25/ronin-round-table-integrating-wizards-5e-adventures-with-the-taldorei-campaign-setting/,Open Gaming License,Critical Role: Tal’Dorei Campaign Setting by Green Ronin Publishing,Matthew Mercer with James Haeck,Green Ronin Publishing™,1.0,2023-11-05T00:01:41.724000,"Critical Role: Tal’Dorei Campaign Setting is ©2017 Green Ronin Publishing, LLC. All rights reserved.",http://open5e.com/legal
TODO,blackflag,https://a5esrd.com/a5esrd,Creative Commons Attribution 4.0 International License,Advanced 5th Edition System Reference Document by EN Publishing,EN Publishing,EN Publishing™,1.0,2023-11-08T15:35:07.465000,"This work includes material taken from the A5E System Reference Document (A5ESRD) by EN Publishing and available at A5ESRD.com, based on Level Up: Advanced 5th Edition, available at www.levelup5e.com. The A5ESRD is licensed under the Creative Commons Attribution 4.0 International License available at https://creativecommons.org/licenses/by/4.0/legalcode.",http://open5e.com/legal
Tome of Beasts 2023,tob-2023,https://koboldpress.com/kpstore/product/tome-of-beasts-1-2023-edition/,Open Gaming License,Tome of Beasts Open-Gaming License Content by Kobold Press,"Dan Dillon, Chris Harris, Rodrigo Garcia Carmona, Wolfgang Baur",Kobold Press,1.0,2024-03-22T00:18:08.061000,Tome of Beasts. 2023 Open Design LLC. All rights reserved.,http://open5e.com/legal
