slug,desc,name,size,type,subtype,group,alignment,armor_class,armor_desc,hit_points,hit_dice,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,strength_save,dexterity_save,constitution_save,intelligence_save,wisdom_save,charisma_save,perception,skills,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,languages,challenge_rating,cr,actions,bonus_actions,reactions,legendary_desc,legendary_actions,special_abilities,spell_list,page_no,environments,img_main,document__slug,document__title,document__license_url,document__url
a-mi-kuk,"Crimson slime covers this ungainly creature. Its tiny black eyes sit in an abnormally large head, and dozens of sharp teeth fill its small mouth. Its limbs end in large, grasping claws that look strong enough to crush the life out of a bear._  
**Hidden Terror.** The dreaded a-mi-kuk is a terrifying creature that feasts on any who venture into the bleak and icy expanses of the world. A-mi-kuks prowl the edges of isolated communities, snatching those careless enough to wander too far from camp. They also submerge themselves beneath frozen waters, coming up from below to grab and strangle lone fishermen.  
**Fear of Flames.** A-mi-kuks have a deathly fear of fire, and anyone using fire against one has a good chance of making it flee in terror, even if the fire-user would otherwise be outmatched. A-mi-kuks are not completely at the mercy of this fear, however, and lash out with incredible fury if cornered by someone using fire against them.  
**Unknown Origins.** A-mi-kuks are not natural creatures and contribute little to the ecosystems in which they live. The monsters are never seen together, and some believe them to be a single monster, an evil spirit made flesh that appears whenever a group of humans has angered the gods. A-mi-kuks have no known allies and viciously attack any creatures that threaten them, regardless of the foe’s size or power.",A-mi-kuk,Huge,Aberration,,,chaotic evil,14,natural armor,115,10d12+50,"{'swim': 40, 'burrow': 20, 'walk': 30}",21,8,20,7,14,10,,,,,,,5.0,"{'athletics': 10, 'perception': 5, 'stealth': 2}",,"acid; bludgeoning, piercing, and slashing from nonmagical attacks",cold,"paralyzed, restrained","darkvision 60 ft., tremorsense 30 ft., passive Perception 15",understands Common but can’t speak,7,7.0,"[{'name': 'Multiattack', 'desc': 'The a-mi-kuk makes two attacks: one with its bite and one with its grasping claw.'}, {'name': 'Bite', 'desc': 'Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) piercing damage.', 'attack_bonus': 8, 'damage_dice': '2d6+5'}, {'name': 'Grasping Claw', 'desc': 'Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 18 (3d8 + 5) bludgeoning damage, and the target is grappled (escape DC 16). The a-mi-kuk has two grasping claws, each of which can grapple only one target at a time.', 'attack_bonus': 8, 'damage_dice': '3d8+5'}, {'name': 'Strangle', 'desc': 'The a-mi-kuk strangles one creature grappled by it. The target must make a DC 16 Strength saving throw. On a failure, the target takes 27 (6d8) bludgeoning damage, can’t breathe, speak, or cast spells, and begins suffocating. On a success, the target takes half the bludgeoning damage and is no longer grappled. Until this strangling grapple ends (escape DC 16), the target takes 13 (3d8) bludgeoning damage at the start of each of its turns. The a-mi-kuk can strangle up to two Medium or smaller targets or one Large target at a time.'}]",,,,,"[{'name': 'Hold Breath', 'desc': 'The a-mi-kuk can hold its breath for 30 minutes.'}, {'name': 'Fear of Fire', 'desc': 'The a-mi-kuk is afraid of fire, and it won’t move toward any fiery or burning objects. If presented forcefully with a flame, or if it is dealt fire damage, the a-mi-kuk must succeed on a DC 13 Wisdom saving throw or become frightened until the end of its next turn. After it has been frightened by a specific source of fire (such as the burning hands spell), the a-mi-kuk can’t be frightened by that same source again for 24 hours.'}, {'name': 'Icy Slime', 'desc': 'The a-mi-kuk’s body is covered in a layer of greasy, ice-cold slime that grants it the benefits of freedom of movement. In addition, a creature that touches the a-mi-kuk or hits it with a melee attack while within 5 feet of it takes 7 (2d6) cold damage from the freezing slime. A creature grappled by the a-mi-kuk takes this damage at the start of each of its turns.'}]",[],15,[],,tob2,Tome of Beasts 2,http://open5e.com/legal,https://koboldpress.com/kpstore/product/tome-of-beasts-2-for-5th-edition/
aalpamac,"A chimeric beast with the body of a massive trout and the front claws and head of a fierce wolverine bursts up from the icy water. Its eyes glow with a lambent green light, and the air around it bends and distorts as if viewed through a thick lens._  
**Hungry Lake Monsters.** The aalpamac is a dangerous freshwater predator native to lakes and rivers. While primarily a water-dwelling monster, the aalpamac can haul itself onto shore with its front claws and does so to attack prey drinking or moving at the water’s edge. While not evil, the aalpamac is a ravenous and territorial creature, ranging over an area of up to a dozen miles in search of fresh meat. Aalpamacs are not picky about what they consume and even attack large boats if sufficiently hungry. They are solitary creatures and tolerate others of their own kind only during mating seasons.  
**Local Legends.** An aalpamac that terrorizes the same lake or river for many years often develops a reputation among the locals of the area, particularly those living along the body of water in question. Inevitably, this gives rise to a number of stories exaggerating the size, ferocity, disposition, or powers of the aalpamac. The stories often give aalpamacs names that highlight their most prominent features or are specific to the area in which they live, such as “Chompo” or “the Heron Lake Monster.” These stories also make the aalpamac the target of adventurers and trophy hunters, most of whom either do not locate the beast or fall victim to it.",Aalpamac,Huge,Monstrosity,,,unaligned,16,natural armor,136,13d12+52,"{'walk': 15, 'swim': 50}",21,10,19,2,16,10,,,7.0,,,,6.0,{'perception': 6},,cold,,,"darkvision 60 ft., passive Perception 16",—,7,7.0,"[{'name': 'Multiattack', 'desc': 'The aalpamac makes three attacks: one with its bite and two with its claws.'}, {'name': 'Bite', 'desc': 'Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) piercing damage.', 'attack_bonus': 8, 'damage_dice': '2d10+5'}, {'name': 'Claws', 'desc': 'Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.', 'attack_bonus': 8, 'damage_dice': '2d6+5'}]",,,,,"[{'name': 'Amphibious', 'desc': 'The aalpamac can breathe air and water.'}, {'name': 'Distance Distortion Aura', 'desc': 'The presence of an aalpamac distorts the vision of creatures within 60 feet of it. Each creature that starts its turn in that area must succeed on a DC 15 Wisdom saving throw or be unable to correctly judge the distance between itself and its surroundings until the start of its next turn. An affected creature has disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight, and it can’t move more than half its speed on its turn. On a successful saving throw, the creature is immune to the aalpamac’s Distance Distortion Aura for the next 24 hours. Creatures with blindsight, tremorsense, or truesight are unaffected by this trait.'}]",[],8,[],,tob2,Tome of Beasts 2,http://open5e.com/legal,https://koboldpress.com/kpstore/product/tome-of-beasts-2-for-5th-edition/
aatxe,,Aatxe,Large,Celestial,shapechanger,,lawful good,14,natural armor,105,10d10+50,{'walk': 50},22,12,20,10,14,14,,,,,,,,"{'athletics': 9, 'intimidation': 5}",,,,"charmed, frightened",passive Perception 12,understands all but can't speak,5,5.0,"[{'attack_bonus': 9, 'damage_dice': '3d8+6', 'desc': 'Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 19 (3d8 + 6) piercing damage.', 'name': 'Gore'}, {'desc': ""The aatxe lowers its horns and paws at the ground with its hooves. Each creature within 30 feet of the aatxe must succeed on a DC 15 Wisdom saving throw or be frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the aatxe's Paw the Earth for the next 24 hours."", 'name': 'Paw the Earth'}]",,,"The aatxe can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The aatxe regains spent legendary actions at the start of its turn.","[{'desc': 'The aatxe makes a Wisdom (Perception) check.', 'name': 'Detect'}, {'desc': 'The aatxe makes one gore attack.', 'name': 'Gore (Costs 2 Actions)'}, {'desc': 'The aatxe flares crimson with celestial power, protecting those nearby. The next attack that would hit an ally within 5 feet of the aatxe hits the aatxe instead.', 'name': 'Bulwark (Costs 3 Actions)'}]","[{'desc': 'If the aatxe moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone.', 'name': 'Charge'}, {'desc': 'The aatxe can use an action to read the surface thoughts of one creature within 30 feet. This works like the detect thoughts spell, except it can only read surface thoughts and there is no limit to the duration. It can end this effect as a bonus action or by using an action to change the target. Limited Speech (Humanoid Form Only). The aatxe can verbally communicate only simple ideas and phrases, though it can understand and follow a conversation without issue.', 'name': 'Know Thoughts'}, {'desc': 'The aatxe has advantage on saving throws against spells and other magical effects.', 'name': 'Magic Resistance'}, {'desc': ""The aatxe can use its action to polymorph into a Medium male humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies."", 'name': 'Shapechanger'}]",[],7,[],,cc,Creature Codex,http://open5e.com/legal,https://koboldpress.com/kpstore/product/creature-codex-for-5th-edition-dnd/
abaasy,,Abaasy,Huge,Giant,,,neutral evil,18,"armor scraps, Dual Shields",126,11d12+55,{'walk': 40},20,10,20,9,14,8,,,,,,,2.0,{'perception': 2},,cold,,,"darkvision 60', passive Perception 15","Common, Giant",8,8.0,"[{'name': 'Multiattack', 'desc': 'Three melee attacks only one of which can be a Shield Shove. If it uses two hands to make a Spear attack it can’t make an Iron Axe attack that turn.'}, {'name': 'Iron Axe', 'desc': 'Melee Weapon Attack: +8 to hit, 10 ft., one target, 18 (3d8+5) slashing damage.'}, {'name': 'Shield Shove', 'desc': 'Melee Weapon Attack: +8 to hit, 10 ft., one target, 15 (4d4+5) bludgeoning damage and target: DC 16 Str save or be knocked prone or pushed up to 15 ft. away from abaasy (abaasy’s choice).'}, {'name': 'Spear', 'desc': ""Melee or Ranged Weapon Attack: +8 to hit 15 ft. or range 20/60' one target 15 (3d6+5) piercing damage or 18 (3d8+5) piercing damage if used with two hands to make a melee attack.""}, {'name': 'Eyebeam (Recharge 5–6)', 'desc': ""Fires a beam of oscillating energy from its eye in a 90' line that is 5 ft. wide. Each creature in the line: 27 (5d10) radiant (DC 16 Dex half).""}]",,,,,"[{'name': 'Armored Berserker', 'desc': 'The pain caused by the iron plates bolted to its body keep it on the edge of madness. Whenever it starts its turn with 60 hp or fewer roll a d6. On a 6 it goes berserk. While berserk has resistance to B/P/S damage. On each of its turns while berserk it attacks nearest creature it can see. If no creature is near enough to move to and attack attacks an object with preference for object smaller than itself. Once it goes berserk continues to do so until destroyed or regains all its hp.'}, {'name': 'Dual Shields', 'desc': 'Carries two shields which together give it a +3 bonus to its AC (included in its AC).'}, {'name': 'Poor Depth Perception', 'desc': ""Has disadvantage on attack rolls vs. a target more than 30' away from it.""}]",[],8,[],,tob3,Tome of Beasts 3,http://open5e.com/legal,https://koboldpress.com/kpstore/product/tome-of-beasts-3-for-5th-edition/
abbanith-giant,"This giant has a bulky, muscular body and small eyes in its broad, flat face. The giant’s thumbs end in large, black claws._  
**Ancient Giants of the Deep.** Abbanith giants are among the oldest races of giants known to exist and are said to have been around since the world was first formed. Many scholars turn to the giants’ deep connection with the earth as evidence of this fact, and the giants themselves make no efforts to deny it. Indeed, the oral tradition of the abbanith giants dates back millennia, to a time when gods walked the land, elves were first learning the secrets of magic, and humans were still living in caves. Most abbanith giants wear simple tunics or shorts woven of a strange subterranean fungus, though leaders occasionally wear armor.  
**Consummate Diggers.** Abbanith giants dwell almost exclusively underground and are adept at using their incredibly hard thumb claws to dig massive tunnels through the earth. Druids and wizards studying the giants’ unique biology have deduced that mineral-based materials actually soften when struck by their claws. This feature has also made them the target of derro and duergar slavers wishing to use their skills to mine precious gems or build their fortifications, something the giants violently oppose despite their normally peaceable nature.  
**Allies of the Earth.** For as long as either race can remember, abbanith giants have been allies of the Open Game License",Abbanith Giant,Large,Giant,,,neutral,13,natural armor,76,9d10+27,"{'burrow': 30, 'walk': 40}",20,9,17,10,13,11,7.0,,5.0,,,,,{},,,,,"tremorsense 120 ft., passive Perception 11","Giant, Terran",3,3.0,"[{'name': 'Multiattack', 'desc': 'The abbanith giant makes two thumb claw attacks.'}, {'name': 'Thumb Claw', 'desc': 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) piercing damage.', 'attack_bonus': 7, 'damage_dice': '2d6+5'}]",,"[{'name': 'Earth Counter (Recharge 6)', 'desc': 'When a creature the abbanith can see within 30 feet of it casts a spell, the abbanith counters it. This reaction works like the counterspell spell, except the abbanith can only counter spells that directly affect or create earth or stone, such as stone shape, wall of stone, or move earth, and it doesn’t need to make a spellcasting ability check, regardless of the spell’s level.'}]",,,"[{'name': 'One with the Earth', 'desc': 'The abbanith giant can detect the flows and rhythms of the earth—including things that interfere with these rhythms, such as earthquakes and magical anomalies. As a result, the abbanith giant can’t be surprised by an opponent that is touching the ground. In addition, the giant has advantage on attack rolls against constructs and elementals made of earth or stone.'}, {'name': 'Siege Monster', 'desc': 'The giant deals double damage to objects and structures and triple damage to objects and structures made of earth or stone.'}]",[],170,[],,tob2,Tome of Beasts 2,http://open5e.com/legal,https://koboldpress.com/kpstore/product/tome-of-beasts-2-for-5th-edition/
aboleth,,Aboleth,Large,Aberration,,,lawful evil,17,natural armor,135,18d10+36,"{'walk': 10, 'swim': 40}",21,9,15,18,15,18,,,6.0,8.0,6.0,,10.0,"{'history': 12, 'perception': 10}",,,,,"darkvision 120 ft., passive Perception 20","Deep Speech, telepathy 120 ft.",10,10.0,"[{'name': 'Multiattack', 'desc': 'The aboleth makes three tentacle attacks.'}, {'name': 'Tentacle', 'desc': ""Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed."", 'attack_bonus': 9, 'damage_dice': '2d6', 'damage_bonus': 5}, {'name': 'Tail', 'desc': 'Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage.', 'attack_bonus': 9, 'damage_dice': '3d6', 'damage_bonus': 5}, {'name': 'Enslave (3/day)', 'desc': ""The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.\nWhenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.""}]",,,"The aboleth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The aboleth regains spent legendary actions at the start of its turn.","[{'name': 'Detect', 'desc': 'The aboleth makes a Wisdom (Perception) check.'}, {'name': 'Tail Swipe', 'desc': 'The aboleth makes one tail attack.'}, {'name': 'Psychic Drain (Costs 2 Actions)', 'desc': 'One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.'}]","[{'name': 'Amphibious', 'desc': 'The aboleth can breathe air and water.'}, {'name': 'Mucous Cloud', 'desc': 'While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.'}, {'name': 'Probing Telepathy', 'desc': ""If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.""}]",[],261,"['Underdark', 'Sewer', 'Caverns', 'Plane Of Water', 'Water']",http://api.open5e.com/static/img/monsters/aboleth.png,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
aboleth-a5e,,Aboleth,Large,Aberration,,,,17,,171,18d10+72,"{'walk': 10, 'swim': 40}",20,12,18,20,20,18,,5.0,8.0,9.0,9.0,,,"{'deception': 8, 'history': 9, 'stealth': 5}",,,,,"blindsight 30 ft., darkvision 120 ft., passive Perception 15","Deep Speech, telepathy 120 ft.",11,11.0,"[{'name': 'Multiattack', 'desc': 'The aboleth attacks three times with its tentacle.'}, {'name': 'Tentacle', 'desc': 'Melee Weapon Attack: +9 to hit  reach 15 ft.  one target. Hit: 19 (4d6 + 5) bludgeoning damage. The aboleth can choose instead to deal 0 damage. If the target is a creature  it makes a DC 16 Constitution saving throw. On a failure  it contracts a disease called the Sea Change. On a success  it is immune to this disease for 24 hours. While affected by this disease  the target has disadvantage on Wisdom saving throws. After 1 hour  the target grows gills  it can breathe water  its skin becomes slimy  and it begins to suffocate if it goes 12 hours without being immersed in water for at least 1 hour. This disease can be removed with a disease-removing spell cast with at least a 4th-level spell slot  and it ends 24 hours after the aboleth dies.'}, {'name': 'Slimy Cloud (1/Day, While Bloodied)', 'desc': 'While underwater  the aboleth exudes a cloud of inky slime in a 30-foot-radius sphere. Each non-aboleth creature in the area when the cloud appears makes a DC 16 Constitution saving throw. On a failure  it takes 44 (8d10) poison damage and is poisoned for 1 minute. The slime extends around corners  and the area is heavily obscured for 1 minute or until a strong current dissipates the cloud.'}]",,,,"[{'name': 'The aboleth can take 2 legendary actions', 'desc': 'Only one legendary action can be used at a time and only at the end of another creatures turn. It regains spent legendary actions at the start of its turn.'}, {'name': 'Move', 'desc': 'The aboleth moves up to its swim speed without provoking opportunity attacks.'}, {'name': 'Telepathic Summon', 'desc': 'One creature within 90 feet makes a DC 16 Wisdom saving throw. On a failure, it must use its reaction, if available, to move up to its speed toward the aboleth by the most direct route that avoids hazards, not avoiding opportunity attacks. This is a magical charm effect.'}, {'name': 'Baleful Charm (Costs 2 Actions)', 'desc': 'The aboleth targets one creature within 60 feet that has contracted Sea Change. The target makes a DC 16 Wisdom saving throw. On a failure, it is magically charmed by the aboleth until the aboleth dies. The target can repeat this saving throw every 24 hours and when it takes damage from the aboleth or the aboleths allies. While charmed in this way, the target can communicate telepathically with the aboleth over any distance and it follows the aboleths orders.'}, {'name': 'Soul Drain (Costs 2 Actions)', 'desc': 'One creature charmed by the aboleth takes 22 (4d10) psychic damage, and the aboleth regains hit points equal to the damage dealt.'}]","[{'name': 'Amphibious', 'desc': 'The aboleth can breathe air and water.'}, {'name': 'Innate Spellcasting', 'desc': 'The aboleths spellcasting ability is Charisma (spell save DC 16). It can innately cast the following spells, requiring no components: 3/day each: detect thoughts (range 120 ft, desc: ), project image (range 1 mile), phantasmal force'}]",[],16,[],,menagerie,Level Up Advanced 5e Monstrous Menagerie,http://open5e.com/legal,https://www.levelup5e.com
aboleth-nihilith,,"Aboleth, Nihilith",Large,Undead,,,chaotic evil,17,natural armor,135,18d10+36,"{'hover': True, 'walk': 10, 'swim': 40, 'fly': 50}",21,9,15,18,15,18,,,6.0,8.0,6.0,,10.0,"{'history': 12, 'perception': 10}",,"acid, fire, lightning, thunder (only when in ethereal form); bludgeoning, piercing and slashing from nonmagical attacks","cold, necrotic, poison; bludgeoning, piercing and slashing from nonmagical attacks (only when in ethereal form)","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","darkvision 120 ft., passive Perception 20","Void Speech, telepathy 120 ft.",12,12.0,"[{'name': 'Multiattack', 'desc': 'The nihileth makes three tentacle attacks or three withering touches, depending on what form it is in.'}, {'name': 'Tentacle (Material Form Only)', 'desc': ""Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target creature is hit, it must make a successful DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute; during that time, it can be removed by lesser restoration or comparable magic. After 1 minute, the diseased creature's skin becomes translucent and slimy. The creature cannot regain hit points unless it is entirely underwater, and the disease can only be removed by heal or comparable magic. Unless the creature is fully submerged or frequently doused with water, it takes 6 (1d12) acid damage every 10 minutes. If a creature dies while diseased, it rises in 1d6 rounds as a nihilethic zombie. This zombie is permanently dominated by the nihileth."", 'attack_bonus': 9, 'damage_dice': '2d6+5'}, {'name': 'Withering Touch (Ethereal Form Only)', 'desc': 'Melee Weapon Attack: +8 to hit, reach 10 ft., one creature. Hit: 14 (3d6 + 4) necrotic damage.', 'attack_bonus': 8, 'damage_dice': '3d6+4'}, {'name': 'Form Swap', 'desc': 'As a bonus action, the nihileth can alter between its material and ethereal forms at will.'}, {'name': 'Tail (Material Form Only)', 'desc': 'Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage.', 'attack_bonus': 9, 'damage_dice': '3d6+5'}, {'name': 'Enslave (3/day)', 'desc': ""The nihileth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the nihileth until the nihileth dies or until it is on a different plane of existence from the target. The charmed target is under the nihileth's control and can't take reactions, and the nihileth and the target can communicate telepathically with each other over any distance. Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the nihileth.""}]",,"[{'name': 'Void Body', 'desc': 'The nihileth can reduce the damage it takes from a single source to 0. Radiant damage can only be reduced by half.'}]","A nihileth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The nihileth regains spent legendary actions at the start of its turn.","[{'name': 'Detect', 'desc': 'The aboleth makes a Wisdom (Perception) check.'}, {'name': 'Tail Swipe', 'desc': 'The aboleth makes one tail attack.'}, {'name': 'Psychic Drain (Costs 2 Actions)', 'desc': 'One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.'}]","[{'name': 'Undead Fortitude', 'desc': 'If damage reduces the nihileth to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the nihileth drops to 1 hit point instead.'}, {'name': 'Dual State', 'desc': ""A nihileth exists upon the Material Plane in one of two forms and can switch between them at will. In its material form, it has resistance to damage from nonmagical attacks. In its ethereal form, it is immune to damage from nonmagical attacks. The creature's ethereal form appears as a dark purple outline of its material form, with a blackish-purple haze within. A nihileth in ethereal form can move through air as though it were water, with a fly speed of 40 feet.""}, {'name': 'Void Aura', 'desc': 'The undead nihileth is surrounded by a chilling cloud. A living creature that starts its turn within 5 feet of a nihileth must make a successful DC 14 Constitution saving throw or be slowed until the start of its next turn. In addition, any creature that has been diseased by a nihileth or a nihilethic zombie takes 7 (2d6) cold damage every time it starts its turn within the aura.'}, {'name': 'Infecting Telepathy', 'desc': ""If a creature communicates telepathically with the nihileth, or uses a psychic attack against it, the nihileth can spread its disease to the creature. The creature must succeed on a DC 14 Wisdom save or become infected with the same disease caused by the nihileth's tentacle attack.""}, {'name': ""Nihileth's Lair"", 'desc': 'on initiative count 20 (losing initiative ties), the nihileth can take a lair action to create one of the magical effects as per an aboleth, or the void absorbance action listed below. The nihileth cannot use the same effect two rounds in a row.\n\n- Void Absorbance: A nihileth can pull the life force from those it has converted to nihilethic zombies to replenish its own life. This takes 18 (6d6) hit points from zombies within 30 feet of the nihileth, spread evenly between the zombies, and healing the nihileth. If a zombie reaches 0 hit points from this action, it perishes with no Undead Fortitude saving throw.'}, {'name': 'Regional Effects', 'desc': ""the regional effects of a nihileth's lair are the same as that of an aboleth, except as following.\n\n- Water sources within 1 mile of a nihileth's lair are not only supernaturally fouled but can spread the disease of the nihileth. A creature who drinks from such water must make a successful DC 14 Constitution check or become infected.""}]",[],8,[],,tob,Tome of Beasts,http://open5e.com/legal,https://koboldpress.com/kpstore/product/tome-of-beasts-for-5th-edition-print/
aboleth-thrall-a5e,,Aboleth Thrall,Medium,Humanoid,,,,12,,45,7d8+14,"{'walk': 30, 'swim': 30}",14,14,14,10,10,12,,,,,,,,{'any': 0},,,,,passive Perception 10,"Common, unlimited-range telepathy with aboleth",2,2.0,"[{'name': 'Poison Ink Knife', 'desc': 'Melee Weapon Attack: +4 to hit  reach 5 ft.  one target. Hit: 4 (1d4 + 2) slashing damage plus 10 (3d6) poison damage.'}]",,"[{'name': 'Self-Sacrifice', 'desc': 'When a creature within 5 feet of the thrall that the thrall can see hits an aboleth with an attack, the thrall can make itself the target of the attack instead.'}]",,,"[{'name': 'Sea Changed', 'desc': 'The aboleth thrall can breathe water and air, but must bathe in water for 1 hour for every 12 hours it spends dry or it begins to suffocate. It is magically charmed by the aboleth.'}]",[],17,[],,menagerie,Level Up Advanced 5e Monstrous Menagerie,http://open5e.com/legal,https://www.levelup5e.com
abominable-beauty,"_An otherworldly humanoid of such indescribable beauty, it pains anyone’s eyes to gaze upon her._  
**Beauty that Destroys.** An abominable beauty is so perfect that her gaze blinds, her voice is so melodious that no ears can withstand it, and her touch is so tantalizing that it burns like fire. In adolescence, this fey creature adopts features that meet the superficial ideals of the nearest humanoid population: long‐legged elegance near elves, a stout figure with lustrous hair near dwarves, unscarred or emerald skin near goblins.  
**Jealous and Cruel.** Abominable beauties are so consumed with being the most beautiful creature in the region that they almost invariably grow jealous and paranoid about potential rivals. Because such an abominable beauty cannot abide competition, she seeks to kill anyone whose beauty is compared to her own.  
**Male of the Species.** Male abominable beauties are rare but even more jealous in their rages.",Abominable Beauty,Medium,Fey,,,neutral evil,18,natural armor,187,22d8+88,{'walk': 30},17,18,18,17,16,26,,8.0,8.0,,,12.0,7.0,"{'deception': 12, 'perception': 7, 'performance': 12, 'persuasion': 12}",,,fire,,passive Perception 17,"Common, Draconic, Elvish, Sylvan",11,11.0,"[{'name': 'Multiattack', 'desc': 'The abominable beauty makes two slam attacks.'}, {'name': 'Slam', 'desc': '+8 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) damage plus 28 (8d6) fire damage.'}, {'name': 'Blinding Gaze (Recharge 5-6)', 'desc': ""A creature within 30 feet of the abominable beauty who is targeted by this attack and who meets the abominable beauty's gaze must succeed on a DC 17 Charisma saving throw or be blinded. If the saving throw succeeds, the target creature is permanently immune to this abominable beauty's Blinding Gaze.""}, {'name': 'Deafening Voice (Recharge 5-6)', 'desc': ""An abominable beauty's voice is lovely, but any creature within 90 feet and able to hear her when she makes her Deafening Voice attack must succeed on a DC 16 Constitution saving throw or be permanently deafened.""}]",,,,,"[{'name': 'Burning Touch', 'desc': ""The abominable beauty's slam attacks do 28 (8d6) fire damage. A creature who touches her also takes 28 (8d6) fire damage.""}]",[],11,[],,tob,Tome of Beasts,http://open5e.com/legal,https://koboldpress.com/kpstore/product/tome-of-beasts-for-5th-edition-print/
