slug,name,desc,higher_level,page,range,target_range_sort,components,requires_verbal_components,requires_somatic_components,requires_material_components,material,can_be_cast_as_ritual,ritual,duration,concentration,requires_concentration,casting_time,level,level_int,spell_level,school,dnd_class,spell_lists,archetype,circles,document__slug,document__title,document__license_url,document__url
abhorrent-apparition,Abhorrent Apparition,"You imbue a terrifying visage onto a gourd and toss it ahead of you to a spot of your choosing within range. Each creature within 15 feet of that spot takes 6d8 psychic damage and becomes frightened of you for 1 minute; a successful Wisdom saving throw halves the damage and negates the fright. A creature frightened in this way repeats the saving throw at the end of each of its turns, ending the effect on itself on a success.
","If you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d8 for each slot level above 4th.",,60 feet,60,M,False,False,True,a gourd with a face carved on it,False,no,Instantaneous,no,False,1 action,4th-level,4,4,illusion,"Bard, Sorcerer, Wizard","['bard', 'sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
abrupt-hug,Abrupt Hug,"You or the creature taking the Attack action can immediately make an unarmed strike. In addition to dealing damage with the unarmed strike, the target can grapple the creature it hit with the unarmed strike.",,,30 Feet,30,V,True,False,False,,False,no,Instantaneous,no,False,"1 reaction, which you take when you or a creature within 30 feet of you takes an Attack action",1st-level,1,1,transmutation,Ranger,['ranger'],,,warlock,Warlock Archives,http://open5e.com/legal,https://koboldpress.com/kpstore/product-category/all-products/warlock-5th-edition-dnd/
absolute-command,Absolute Command,"Deep Magic: clockwork You can control a construct you have built with a challenge rating of 6 or less. You can manipulate objects with your construct as precisely as its construction allows, and you perceive its surroundings through its sensory inputs as if you inhabited its body. The construct uses the caster's Proficiency bonus (modified by the construct's Strength and Dexterity scores). You can use the manipulators of the construct to perform any number of skill-based tasks, using the construct's Strength and Dexterity modifiers when using skills based on those particular abilities. Your body remains immobile, as if paralyzed, for the duration of the spell. The construct must remain within 100 feet of you. If it moves beyond this distance, the spell immediately ends and the caster's mind returns to his or her body.","When you cast this spell using higher-level spell slots, you may control a construct with a challenge rating 2 higher for each slot level you use above 4th. The construct's range also increases by 10 feet for each slot level.",,Touch,1,"V, S, M",True,True,True,,False,no,10 Minutes,no,False,1 action,4th-level,4,4,transmutation,Wizard,['wizard'],,,dmag-e,Deep Magic Extended,http://open5e.com/legal,https://koboldpress.com
accelerando-a5e,Accelerando,"You play a complex and quick up-tempo piece that gradually gets faster and more complex, instilling the targets with its speed. You cannot cast another spell through your spellcasting focus while concentrating on this spell.

Until the spell ends, targets gain cumulative benefits the longer you maintain concentration on this spell (including the turn you cast it).

* **1 Round:** Double Speed.
* **2 Rounds:** +2 bonus to AC.
* **3 Rounds:** Advantage on Dexterity saving throws.
* **4 Rounds:** An additional action each turn. This action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action.

When the spell ends, a target can't move or take actions until after its next turn as the impact of their frenetic speed catches up to it.",You may maintain concentration on this spell for an additional 2 rounds for each slot level above 4th.,,30 feet,30,"V, S, M",True,True,True,,False,no,Up to 6 rounds,yes,True,1 action,4th-level,4,4,Transmutation,Bard,[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
accelerate,Accelerate,"Choose up to three willing creatures within range, which can include you. For the duration of the spell, each target’s walking speed is doubled. Each target can also use a bonus action on each of its turns to take the Dash action, and it has advantage on Dexterity saving throws.
","When you cast this spell using a spell slot of 4th level or higher, you can affect one additional creature for each slot level above 3rd.",,Touch,1,"V, S, M",True,True,True,a toy top,False,no,Up to 1 minute,yes,True,1 action,3rd-level,3,3,transmutation,"Bard, Cleric, Druid, Sorcerer, Wizard","['cleric', 'druid', 'bard', 'sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
acid-arrow,Acid Arrow,"A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage and no damage at the end of its next turn.","When you cast this spell using a spell slot of 3rd level or higher, the damage (both initial and later) increases by 1d4 for each slot level above 2nd.",phb 259,90 feet,90,"V, S, M",True,True,True,Powdered rhubarb leaf and an adder's stomach.,False,no,Instantaneous,no,False,1 action,2nd-level,2,2,Evocation,"Druid, Wizard","['druid', 'wizard']",Druid: Swamp,Swamp,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
acid-arrow-a5e,Acid Arrow,"A jet of acid streaks towards the target like a hissing, green arrow. Make a ranged spell attack.

On a hit the target takes 4d4 acid damage and 2d4 ongoing acid damage for 1 round. On a miss the target takes half damage.",Increase this spell's initial and ongoing damage by 1d4 per slot level above 2nd.,,120 feet,120,"V, S, M",True,True,True,,False,no,Instantaneous,no,False,1 action,2nd-level,2,2,Evocation,"Sorcerer, Wizard",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
acid-gate,Acid Gate,"You create a portal of swirling, acidic green vapor in an unoccupied space you can see. This portal connects with a target destination within 100 miles that you are personally familiar with and have seen with your own eyes, such as your wizard’s tower or an inn you have stayed at. You and up to three creatures of your choice can enter the portal and pass through it, arriving at the target destination (or within 10 feet of it, if it is currently occupied). If the target destination doesn’t exist or is inaccessible, the spell automatically fails and the gate doesn’t form.

Any creature that tries to move through the gate, other than those selected by you when the spell was cast, takes 10d6 acid damage and is teleported 1d100 × 10 feet in a random, horizontal direction. If the creature makes a successful Intelligence saving throw, it can’t be teleported by this portal, but it still takes acid damage when it enters the acid-filled portal and every time it ends its turn in contact with it.
","When you cast this spell using a spell slot of 8th level or higher, you can allow one additional creature to use the gate for each slot level above 7th.",,60 feet,60,"V, S, M",True,True,True,a vial of acid and a polished silver mirror worth 125 gp,False,no,Up to 1 minute,yes,True,1 action,7th-level,7,7,conjuration,,[],,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
acid-rain,Acid Rain,"You unleash a storm of swirling acid in a cylinder 20 feet wide and 30 feet high, centered on a point you can see. The area is heavily obscured by the driving acidfall. A creature that starts its turn in the area or that enters the area for the first time on its turn takes 6d6 acid damage, or half as much damage if it makes a successful Dexterity saving throw. A creature takes half as much damage from the acid (as if it had made a successful saving throw) at the start of its first turn after leaving the affected area.
","When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d6 for each slot level above 5th.",,150 feet,150,"V, S, M",True,True,True,a drop of acid,False,no,Up to 1 minute,yes,True,1 action,5th-level,5,5,conjuration,"Sorcerer, Warlock, Wizard","['sorcerer', 'warlock', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
acid-splash,Acid Splash,"You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a dexterity saving throw or take 1d6 acid damage.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",phb 211,60 feet,60,"V, S",True,True,False,,False,no,Instantaneous,no,False,1 action,Cantrip,0,0,Conjuration,"Sorcerer, Wizard","['sorcerer', 'wizard']",,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
